省级行政区,城市,北纬,东经
北京,北京市,39.904690,116.407170
天津,天津市,39.085100,117.199370
上海,上海市,31.230370,121.473700
重庆,重庆市,29.564710,106.550730
香港特别行政区,九龙,22.327115,114.17495
香港特别行政区,新界,22.341766,114.202408
香港特别行政区,香港岛,22.266416,114.177314
澳门特别行政区,路环岛,22.116226,113.564857
澳门特别行政区,澳门半岛,22.198751,113.549134
澳门特别行政区,氹仔岛,22.156838,113.577669
台湾省,台中市,24.138620,120.679510
台湾省,台北市,25.037798,121.565170
台湾省,台南市,23.172478,120.279363
台湾省,嘉义市,23.481568,120.452538
台湾省,高雄市,22.620856,120.286795
台湾省,基隆市,25.130741,121.746248
台湾省,新北市,25.012366,121.465746
河北省,石家庄市,38.042760,114.514300
河北省,唐山市,39.630480,118.180580
河北省,秦皇岛市,39.935450,119.599640
河北省,邯郸市,36.625560,114.539180
河北省,邢台市,37.070550,114.504430
河北省,保定市,38.873960,115.464590
河北省,张家口市,40.824440,114.887550
河北省,承德市,40.951500,117.963400
河北省,沧州市,38.304410,116.838690
河北省,廊坊市,39.537750,116.683760
河北省,衡水市,37.738860,115.670540
河南省,郑州市,34.747250,113.624930
河南省,开封市,34.797260,114.307310
河南省,洛阳市,34.618120,112.453610
河南省,平顶山市,33.766090,113.192410
河南省,安阳市,36.097710,114.393100
河南省,鹤壁市,35.747000,114.297450
河南省,新乡市,35.303230,113.926750
河南省,焦作市,35.215630,113.242010
河南省,濮阳市,35.761890,115.029320
河南省,许昌市,34.035700,113.852330
河南省,漯河市,33.581490,114.016810
河南省,三门峡市,34.772610,111.200300
河南省,南阳市,32.990730,112.528510
河南省,商丘市,34.414270,115.656350
河南省,信阳市,32.147140,114.092790
河南省,周口市,33.625830,114.696950
河南省,驻马店市,33.011420,114.022990
山东省,济南市,36.651840,117.120090
山东省,青岛市,36.066230,120.382990
山东省,淄博市,36.813100,118.054800
山东省,枣庄市,34.810710,117.321960
山东省,东营市,37.433650,118.674660
山东省,烟台市,37.463530,121.448010
山东省,潍坊市,36.706860,119.161760
山东省,济宁市,35.414590,116.587240
山东省,泰安市,36.199940,117.088400
山东省,威海市,37.513480,122.121710
山东省,日照市,35.416460,119.527190
山东省,莱芜市,36.213590,117.676670
山东省,临沂市,35.104650,118.356460
山东省,德州市,37.435500,116.359270
山东省,聊城市,36.457020,115.985490
山东省,滨州市,37.382110,117.972790
山东省,菏泽市,35.233630,115.481150
山西省,太原市,37.876876,112.556252
山西省,大同市,40.081863,113.304424
山西省,阳泉市,37.856680,113.580470
山西省,长治市,36.195810,113.116490
山西省,晋城市,35.490390,112.851130
山西省,朔州市,39.357422,112.439374
山西省,晋中市,37.687020,112.752780
山西省,运城市,35.026280,111.006990
山西省,忻州市,38.416700,112.734180
山西省,临汾市,36.088220,111.519620
山西省,吕梁市,37.519340,111.141650
