Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project1.PrjPCB|ReportField=ProjectFullPath~D:\Altium Designer\Arduino_Car_2022July\PCB_Project1.PrjPCB|ReportField=Title~Bill of Materials For Project [PCB_Project1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~23|ReportField=ReportTime~14:29:20|ReportField=ReportDate~2022/7/7|ReportField=ReportDateTime~2022/7/7 14:29:20|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2022/7/7|ReportField=CurrentTime~14:29:17|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Altium Designer\Arduino_Car_2022July\SmartCar_Groop7_alter.SchDoc|ReportField=DocumentName~SmartCar_Groop7_alter.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2022/7/1|ReportField=Organization~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project1.PrjPCB|ReportField=DataSourceFullPath~D:\Altium Designer\Arduino_Car_2022July\PCB_Project1.PrjPCB
12085BUZZER|12mm*8.5mmBUZZER||BUZ-TH_BD12.0-P6.50-D0.6_SEA-1285F|12085BUZZER|1
MHDR1X6|Header, 6-Pin|Arduino_analog|SIP-6|MHDR1X6|1
MHDR1X10|Header, 10-Pin|Arduino_digital1|SIP-10|MHDR1X10|1
MHDR1X8|Header, 8-Pin|Arduino_digital2, Arduino_power|SIP-8|MHDR1X8|2
LED||D1, D2, D3|LEDLXH-3|LED|3
Header 4|Header, 4-Pin|extraGND, extraVCC|HDR1X4|Header 4|2
Header 2|接插件|P1|HDR2X1_A|Header 2|1
Motor Control|接插件|P2|HDR4X1_A|Header 4|1
Velocity_right|接插件|P3|HDR3X1_A|Header 3|1
Velocity_left|接插件|P4|HDR3X1_A|Header 3|1
BlueTooth|接插件|P5|HDR4X1_A|Header 4|1
LightSensor|接插件|P6|HDR4X1_A|Header 4|1
2N3906|PNP General Purpose Amplifier|Q1|PNP|2N3906|1
Res1|Resistor|R2, R3, R4, R5|AXIAL-0.3|Res1|4
RS601HL-1010011BB||SW1|SW-TH_RS601HL-1010011BB|RS601HL-1010011BB|1
LM35|LM35温度传感器|TEMPSENSOR|LM35|LM35|1
