 ispLEVER Classic 2.1.00.02.49.20 Fitter Report File 
Project Name,lab11
Project Path,D:\isp\new_lab11
Project Fitted on,Fri Jun 02 08:39:30 2023

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,GND,-,,,,,
2,TDI,-,,,,,
3,I_O,0,C12,,,,
4,I_O,0,C10,,,,
5,I_O,0,C6,*,LVCMOS18,Bidir,SDA
6,I_O,0,C2,*,LVCMOS18,Output,SCL
7,GNDIO0,-,,,,,
8,I_O,0,D12,*,LVCMOS18,Input,key_in_0_
9,I_O,0,D10,*,LVCMOS18,Input,key_in_1_
10,I_O,0,D6,*,LVCMOS18,Input,key_in_2_
11,I_O,0,D4,*,LVCMOS18,Input,key_in_3_
12,IN0,0,,,,,
13,VCCIO0,-,,,,,
14,I_O,0,E4,,,,
15,I_O,0,E6,,,,
16,I_O,0,E10,,,,
17,I_O,0,E12,,,,
18,GNDIO0,-,,,,,
19,I_O,0,F2,,,,
20,I_O,0,F6,,,,
21,I_O,0,F10,*,LVCMOS18,Output,key_out_0_
22,I_O,0,F12,*,LVCMOS18,Output,key_out_1_
23,IN1,0,,,,,
24,TCK,-,,,,,
25,VCC,-,,,,,
26,GND,-,,,,,
27,IN2,0,,,,,
28,I_O,0,G12,*,LVCMOS18,Output,key_out_2_
29,I_O,0,G10,*,LVCMOS18,Output,key_out_3_
30,I_O,0,G6,,,,
31,I_O,0,G2,,,,
32,GNDIO0,-,,,,,
33,VCCIO0,-,,,,,
34,I_O,0,H12,,,,
35,I_O,0,H10,,,,
36,I_O,0,H6,*,LVCMOS18,Output,Data_Out_0_
37,I_O,0,H2,*,LVCMOS18,Output,Data_Out_1_
38,INCLK1,0,,*,LVCMOS18,Input,reset
39,INCLK2,1,,,,,
40,VCC,-,,,,,
41,I_O,1,I2,*,LVCMOS18,Output,Data_Out_2_
42,I_O,1,I6,*,LVCMOS18,Output,Data_Out_3_
43,I_O,1,I10,,,,
44,I_O,1,I12,,,,
45,VCCIO1,-,,,,,
46,GNDIO1,-,,,,,
47,I_O,1,J2,,,,
48,I_O,1,J6,*,LVCMOS18,Input,BUTTON_B
49,I_O,1,J10,*,LVCMOS18,Input,BUTTON_A
50,I_O,1,J12,,,,
51,GND,-,,,,,
52,TMS,-,,,,,
53,I_O,1,K12,,,,
54,I_O,1,K10,*,LVCMOS18,Output,LED_VCC4
55,I_O,1,K6,*,LVCMOS18,Output,LED_VCC3
56,I_O,1,K2,*,LVCMOS18,Output,b
57,GNDIO1,-,,,,,
58,I_O,1,L12,*,LVCMOS18,Output,g
59,I_O,1,L10,,,,
60,I_O,1,L6,*,LVCMOS18,Output,f
61,I_O,1,L4,*,LVCMOS18,Output,a
62,IN3,1,,,,,
63,VCCIO1,-,,,,,
64,I_O,1,M4,*,LVCMOS18,Output,d
65,I_O,1,M6,*,LVCMOS18,Output,e
66,I_O,1,M10,*,LVCMOS18,Output,c
67,I_O,1,M12,,,,
68,GNDIO1,-,,,,,
69,I_O,1,N2,,,,
70,I_O,1,N6,,,,
71,I_O,1,N10,,,,
72,I_O,1,N12,*,LVCMOS18,Output,LED_VCC1
73,IN4,1,,,,,
74,TDO,-,,,,,
75,VCC,-,,,,,
76,GND,-,,,,,
77,IN5,1,,,,,
78,I_O,1,O12,*,LVCMOS18,Output,LED_VCC2
79,I_O,1,O10,,,,
80,I_O,1,O6,,,,
81,I_O,1,O2,,,,
82,GNDIO1,-,,,,,
83,VCCIO1,-,,,,,
84,I_O,1,P12,,,,
85,I_O,1,P10,,,,
86,I_O,1,P6,,,,
87,I_O/OE,1,P2,,,,
88,INCLK3,1,,*,LVCMOS18,Input,clk
89,INCLK0,0,,,,,
90,VCC,-,,,,,
91,I_O/OE,0,A2,,,,
92,I_O,0,A6,,,,
93,I_O,0,A10,,,,
94,I_O,0,A12,,,,
95,VCCIO0,-,,,,,
96,GNDIO0,-,,,,,
97,I_O,0,B2,,,,
98,I_O,0,B6,,,,
99,I_O,0,B10,,,,
100,I_O,0,B12,,,,
