 ispLEVER Classic 2.1.00.02.49.20 Fitter Report File 
Project Name,labx
Project Path,D:\isp\labX
Project Fitted on,Fri Jun 09 10:53:19 2023

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,GND,-,,,,,
2,TDI,-,,,,,
3,VCCIO0,-,,,,,
4,I_O,0,C12,,,,
5,I_O,0,C10,,,,
6,I_O,0,C8,,,,
7,I_O,0,C6,,,,
8,I_O,0,C4,,,,
9,I_O,0,C2,,,,
10,GNDIO0,-,,,,,
11,I_O,0,D14,,,,
12,I_O,0,D12,,,,
13,I_O,0,D10,,,,
14,I_O,0,D8,,,,
15,I_O,0,D6,,,,
16,I_O,0,D4,,,,
17,IN0,0,,,,,
18,NC,-,,,,,
19,VCCIO0,-,,,,,
20,IN1,0,,,,,
21,I_O,0,E2,*,LVCMOS18,Input,din
22,I_O,0,E4,,,,
23,I_O,0,E6,,,,
24,I_O,0,E8,,,,
25,I_O,0,E10,,,,
26,I_O,0,E12,,,,
27,GNDIO0,-,,,,,
28,I_O,0,F2,,,,
29,I_O,0,F4,,,,
30,I_O,0,F6,*,LVCMOS18,Input,key_in_0_
31,I_O,0,F8,*,LVCMOS18,Input,key_in_1_
32,I_O,0,F10,*,LVCMOS18,Input,key_in_2_
33,I_O,0,F12,*,LVCMOS18,Input,key_in_3_
34,VCCIO0,-,,,,,
35,TCK,-,,,,,
36,VCC,-,,,,,
37,GND,-,,,,,
38,IN2,0,,,,,
39,I_O,0,G12,*,LVCMOS18,Output,key_out_1_
40,I_O,0,G10,*,LVCMOS18,Output,key_out_0_
41,I_O,0,G8,*,LVCMOS18,Output,key_out_3_
42,I_O,0,G6,*,LVCMOS18,Output,key_out_2_
43,I_O,0,G4,*,LVCMOS18,Output,led_col_0_
44,I_O,0,G2,*,LVCMOS18,Output,led_col_1_
45,IN3,0,,,,,
46,GNDIO0,-,,,,,
47,VCCIO0,-,,,,,
48,I_O,0,H12,*,LVCMOS18,Output,led_col_2_
49,I_O,0,H10,*,LVCMOS18,Output,led_col_3_
50,I_O,0,H8,*,LVCMOS18,Output,led_col_4_
51,I_O,0,H6,*,LVCMOS18,Output,led_col_5_
52,I_O,0,H4,*,LVCMOS18,Output,led_col_6_
53,I_O,0,H2,*,LVCMOS18,Output,led_col_7_
54,INCLK1,0,,,,,
55,GNDIO1,-,,,,,
56,INCLK2,1,,,,,
57,VCC,-,,,,,
58,I_O,1,I2,*,LVCMOS18,Output,led_row_7_
59,I_O,1,I4,*,LVCMOS18,Output,led_row_6_
60,I_O,1,I6,*,LVCMOS18,Output,led_row_5_
61,I_O,1,I8,*,LVCMOS18,Output,led_row_4_
62,I_O,1,I10,*,LVCMOS18,Output,led_row_3_
63,I_O,1,I12,*,LVCMOS18,Output,led_row_2_
64,VCCIO1,-,,,,,
65,GNDIO1,-,,,,,
66,I_O,1,J2,*,LVCMOS18,Output,led_row_1_
67,I_O,1,J4,*,LVCMOS18,Output,led_row_0_
68,I_O,1,J6,*,LVCMOS18,Input,reset
69,I_O,1,J8,,,,
70,I_O,1,J10,,,,
71,I_O,1,J12,,,,
72,IN4,0,,,,,
73,GND,-,,,,,
74,TMS,-,,,,,
75,VCCIO1,-,,,,,
76,I_O,1,K12,,,,
77,I_O,1,K10,,,,
78,I_O,1,K8,,,,
79,I_O,1,K6,*,LVCMOS18,Output,LED_VCC3
80,I_O,1,K4,*,LVCMOS18,Output,LED_VCC4
81,I_O,1,K2,*,LVCMOS18,Output,LED_VCC1
82,GNDIO1,-,,,,,
83,I_O,1,L14,*,LVCMOS18,Output,LED_VCC2
84,I_O,1,L12,,,,
85,I_O,1,L10,,,,
86,I_O,1,L8,,,,
87,I_O,1,L6,,,,
88,I_O,1,L4,*,LVCMOS18,Output,g
89,IN5,1,,,,,
90,NC,-,,,,,
91,VCCIO1,-,,,,,
92,IN6,1,,,,,
93,I_O,1,M2,,,,
94,I_O,1,M4,*,LVCMOS18,Output,e
95,I_O,1,M6,*,LVCMOS18,Output,f
96,I_O,1,M8,*,LVCMOS18,Output,c
97,I_O,1,M10,*,LVCMOS18,Output,d
98,I_O,1,M12,*,LVCMOS18,Output,a
99,GNDIO1,-,,,,,
100,I_O,1,N2,*,LVCMOS18,Output,b
101,I_O,1,N4,,,,
102,I_O,1,N6,,,,
103,I_O,1,N8,,,,
104,I_O,1,N10,,,,
105,I_O,1,N12,,,,
106,VCCIO1,-,,,,,
107,TDO,-,,,,,
108,VCC,-,,,,,
109,GND,-,,,,,
110,IN7,1,,,,,
111,I_O,1,O12,*,LVCMOS18,Output,result_7_
112,I_O,1,O10,*,LVCMOS18,Output,result_6_
113,I_O,1,O8,*,LVCMOS18,Output,result_5_
114,I_O,1,O6,*,LVCMOS18,Output,result_4_
115,I_O,1,O4,,,,
116,I_O,1,O2,,,,
117,IN8,1,,,,,
118,GNDIO1,-,,,,,
119,VCCIO1,-,,,,,
120,I_O,1,P12,,,,
121,I_O,1,P10,,,,
122,I_O,1,P8,*,LVCMOS18,Output,result_0_
123,I_O,1,P6,*,LVCMOS18,Output,result_1_
124,I_O,1,P4,*,LVCMOS18,Output,result_2_
