@W: BN132 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\ledscan_n.v":17:0:17:5|Removing instance LEDscanInst.LED_D,  because it is equivalent to instance LEDscanInst.LED_A
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\toplevel.v":18:0:18:5|Net un1_stop_1_0 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_727_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.un1_tone_37 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_38_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.un1_tone_42 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_18_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.un1_tone_29 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_83_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_547_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_36_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_543_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_724_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_542_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_24_i appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\myducuments\_junior_1\electricsystemdesign\isp_labx\labx_7_1\play.v":22:4:22:5|Net playInst.N_22_i appears to be an unidentified clock source. Assuming default frequency. 
